N,Identifier,dist(asec),prob. member,link ref,Mag U,Mag B,Mag V,Mag R,"#ref 
1850 - 2019"
8780,[DMM2009] J004213.59+413202.1,1015.33,0,2009ApJ...703..441D,,18.33,17.36,,1
8781,[DMM2009] J004213.75+412035.0,436.5,0,2009ApJ...703..441D,,17.46,16.69,,1
8783,[DMM2009] J004214.27+403529.7,2461.74,0,2009ApJ...703..441D,,18.92,18.4,,1
8784,[DMM2009] J004214.33+410242.3,873.72,0,2009ApJ...703..441D,,18.63,17.63,,1
8785,[DMM2009] J004214.45+404404.0,1953.14,0,2009ApJ...703..441D,,18.74,18.02,,1
8786,[DMM2009] J004214.67+404738.2,1742.24,0,2009ApJ...703..441D,,17.72,17.2,,1
8787,[DMM2009] J004214.69+404214.2,2060.96,0,2009ApJ...703..441D,,18.94,18.11,,1
8790,[DMM2009] J004214.95+405313.4,1413.96,0,2009ApJ...703..441D,,18.89,18.16,,1
8791,[DMM2009] J004214.96+413540.5,1218.6,0,2009ApJ...703..441D,,17.78,17.07,,1
8792,[DMM2009] J004215.00+411657.6,334.65,0,2009ApJ...703..441D,,18.19,17.57,,1
8795,[DMM2009] J004215.14+410402.5,796.57,0,2009ApJ...703..441D,,18.37,17.87,,1
8796,[DMM2009] J004215.48+405640.7,1211.7,0,2009ApJ...703..441D,,18.03,17.46,,1
8797,[DMM2009] J004215.66+413445.0,1163.02,0,2009ApJ...703..441D,,18.32,17.75,,1
8798,[DMM2009] J004215.71+403438.5,2510.31,0,2009ApJ...703..441D,,17.28,16.62,,1
8799,[DMM2009] J004216.23+405905.2,1070.63,0,2009ApJ...703..441D,,17.77,17.2,,1
8800,[DMM2009] J004216.45+410705.1,627.19,0,2009ApJ...703..441D,,18.95,18.39,,1
8801,[DMM2009] J004216.55+404524.7,1869.57,0,2009ApJ...703..441D,,18.16,16.95,,1
8802,[DMM2009] J004216.79+410657.4,632,0,2009ApJ...703..441D,,18.4,17.28,,1
8806,[DMM2009] J004217.49+404741.7,1732.92,0,2009ApJ...703..441D,,19.64,18.38,,1
8807,[DMM2009] J004217.64+405217.0,1462.23,0,2009ApJ...703..441D,,19.61,18.42,,1
8808,[DMM2009] J004218.02+411837.2,332.35,0,2009ApJ...703..441D,,17.44,16.83,,1
8809,[DMM2009] J004218.17+404900.7,1653.86,0,2009ApJ...703..441D,,16.49,15.93,,1
8811,[DMM2009] J004218.86+404913.4,1639.91,0,2009ApJ...703..441D,,18.6,17.76,,1
8812,[DMM2009] J004219.56+413204.7,996.95,0,2009ApJ...703..441D,,17.41,16.66,,1
8813,[DMM2009] J004219.57+411929.7,344.58,0,2009ApJ...703..441D,,17.33,16.28,,1
8814,[DMM2009] J004219.68+413130.2,963.49,0,2009ApJ...703..441D,,19.13,18.41,,1
8815,[DMM2009] J004220.26+413817.0,1356.81,0,2009ApJ...703..441D,,17.79,17.21,,1
8816,[DMM2009] J004220.31+412002.0,358.42,0,2009ApJ...703..441D,,18.85,18.14,,1
8817,[DMM2009] J004220.39+404514.4,1872.98,0,2009ApJ...703..441D,,19.16,18.5,,1
8819,[DMM2009] J004220.84+412816.5,775.54,0,2009ApJ...703..441D,,18.85,18.04,,1
8821,[DMM2009] J004220.87+405415.3,1338.86,0,2009ApJ...703..441D,,17.7,17.12,,1
8820,[DMM2009] J004220.87+411057.3,407.98,0,2009ApJ...703..441D,,18.03,16.71,,1
8822,[DMM2009] J004221.14+412358.4,538.57,0,2009ApJ...703..441D,,19.24,17.89,,1
8823,[DMM2009] J004221.28+412254.0,482.5,0,2009ApJ...703..441D,,18.52,17.73,,1
8824,[DMM2009] J004221.50+405319.1,1392.78,0,2009ApJ...703..441D,,19.03,17.73,,1
8825,[DMM2009] J004222.10+404240.3,2023.1,0,2009ApJ...703..441D,,18.79,17.82,,1
8826,[DMM2009] J004222.28+413418.3,1118.57,0,2009ApJ...703..441D,,18.88,18.3,,1
8827,[DMM2009] J004222.65+403914.8,2226.52,0,2009ApJ...703..441D,,18.25,17.66,,1
8828,[DMM2009] J004223.17+410301.1,821.99,0,2009ApJ...703..441D,,18.45,17.55,,1
8829,[DMM2009] J004223.43+413656.8,1271.24,0,2009ApJ...703..441D,,18.27,17.61,,1
8831,[DMM2009] J004223.58+404229.0,2032.25,0,2009ApJ...703..441D,,19.18,18.22,,1
8830,[DMM2009] J004223.58+405323.0,1384.72,0,2009ApJ...703..441D,,17.58,16.72,,1
8832,[DMM2009] J004223.65+411137.6,356.94,0,2009ApJ...703..441D,,19.03,17.78,,1
8833,[DMM2009] J004223.89+403219.8,2638.15,0,2009ApJ...703..441D,,18.18,17.38,,1
8835,[DMM2009] J004223.91+405316.3,1390.73,0,2009ApJ...703..441D,,17.7,16.83,,1
8834,[DMM2009] J004223.91+410551.9,657.47,0,2009ApJ...703..441D,,18.03,17.25,,1
8836,[DMM2009] J004224.32+410111.0,924.62,0,2009ApJ...703..441D,,19.18,18.01,,1
8837,[DMM2009] J004224.62+410929.4,456.1,0,2009ApJ...703..441D,,17.76,16.81,,1
8838,[DMM2009] J004224.66+405640.0,1188.75,0,2009ApJ...703..441D,,17.42,16.58,,1
8840,[DMM2009] J004225.23+403815.1,2282.81,0,2009ApJ...703..441D,,18.43,17.84,,1
8841,[DMM2009] J004225.76+403621.1,2395.82,0,2009ApJ...703..441D,,16.91,16.35,,1
8842,[DMM2009] J004225.87+405651.7,1174.93,0,2009ApJ...703..441D,,17.92,16.98,,1
8844,[DMM2009] J004225.93+405701.2,1165.18,0,2009ApJ...703..441D,,19.77,18.41,,1
8845,[DMM2009] J004226.10+410021.4,968.43,0,2009ApJ...703..441D,,17.53,17.01,,1
8846,[DMM2009] J004226.22+410944.3,434.38,0,2009ApJ...703..441D,,17.67,17,,1
8847,[DMM2009] J004226.41+405518.8,1265.14,0,2009ApJ...703..441D,,18.25,16.93,,1
8850,[DMM2009] J004226.59+410611.8,628.47,0,2009ApJ...703..441D,,17.16,16.41,,1
8851,[DMM2009] J004226.90+403425.3,2510.24,0,2009ApJ...703..441D,,17.9,17.29,,1
8852,[DMM2009] J004227.17+403505.9,2469.36,0,2009ApJ...703..441D,,18.9,18.26,,1
8853,[DMM2009] J004227.69+412032.9,325.14,0,2009ApJ...703..441D,,18.13,17.5,,1
8854,[DMM2009] J004228.21+404518.3,1858.39,0,2009ApJ...703..441D,,17.9,17.33,,1
8855,[DMM2009] J004228.59+404429.5,1906.52,0,2009ApJ...703..441D,,17.96,16.83,,1
8857,[DMM2009] J004228.97+403253.8,2599.9,0,2009ApJ...703..441D,,17.11,16.41,,1
8858,[DMM2009] J004229.02+411115.3,339.53,0,2009ApJ...703..441D,,17.5,16.75,,1
8861,[DMM2009] J004230.31+410909.8,446.69,0,2009ApJ...703..441D,,18.35,17.71,,1
8862,[DMM2009] J004230.33+412727.6,698.17,0,2009ApJ...703..441D,,18.98,18.38,,1
